Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
44536,34,50964,1586000,50965,3537860,174476.672897196,51074,24
44637,36,51064,1586000,51065,3537024,173640.672897196,51184,24
44737,36,51165,1586000,51166,3536432,173048.672897196,51294,25
44838,28,51264,1586000,51265,3530316,166932.672897196,51391,20
44937,28,51365,1586000,51366,3532728,169344.672897196,51484,19
45038,28,51465,1586000,51466,3532728,169344.672897196,51584,23
45138,24,51566,1586000,51567,3537044,173660.672897196,51687,17
45238,25,51666,1586000,51667,3535184,171800.672897196,51794,19
45339,32,51766,1586000,51767,3534612,171228.672897196,51885,23
45439,29,51866,1586000,51867,3533776,170392.672897196,51983,21
45539,28,51967,1586000,51968,3527760,164376.672897196,52087,20
45640,36,52067,1586000,52068,3528172,164788.672897196,52185,27
45741,30,52168,1586000,52169,3532008,168624.672897196,52294,21
45841,50,52268,1586000,52270,3533000,169616.672897196,52395,37
45941,51,52369,1586000,52370,3534984,171600.672897196,52486,37
