App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
43530,35,43430,1586000,43431,3510472,43546,24,
43631,24,43531,1586000,43532,3510328,43648,17,
43731,21,43631,1586000,43633,3505988,43746,14,
43831,28,43731,1586000,43732,3504744,43848,21,
43931,25,43832,1586000,43833,3509000,43950,18,
44032,23,43932,1378000,43933,3508756,44050,19,
44132,26,44033,1586000,44035,3509848,44150,17,
44233,32,44133,1586000,44134,3510592,44248,22,
44333,24,44233,1586000,44234,3509412,44349,18,
44434,16,44334,1586000,44335,3506948,44449,12,
44534,23,44434,1586000,44435,3505944,44552,17,
44635,29,44535,1586000,44536,3510144,44653,20,
44735,28,44636,1586000,44637,3510740,44751,19,
44836,27,44736,1586000,44737,3509876,44852,21,
44937,37,44836,1586000,44838,3510120,44954,25,
45036,37,44937,1586000,44939,3505140,45053,27,
45137,32,45037,1586000,45038,3505140,45155,22,
45237,20,45137,1586000,45139,3508860,45255,11,
45337,29,45239,1586000,45240,3508420,45354,23,
45439,26,45338,1586000,45339,3510900,45457,20,
45538,33,45440,1586000,45442,3511100,45560,25,
45639,49,45539,1586000,45540,3511844,45658,36,
45740,50,45640,1586000,45641,3512172,45764,36,
45840,43,45740,1586000,45742,3504788,45860,31,
45941,43,45841,1586000,45842,3485392,45959,32,
46044,37,45942,1586000,45943,3521352,46077,31,
46142,46,46052,1586000,46054,3535984,46156,31,
46243,44,46142,1586000,46143,3537472,46263,34,
46342,31,46244,1586000,46245,3536344,46361,20,
46442,34,46343,1586000,46344,3536112,46461,27,
46543,38,46443,1586000,46446,3537584,46560,25,
46643,37,46544,1586000,46545,3531312,46661,27,
46745,28,46644,1586000,46645,3535440,46760,18,
46845,33,46745,1586000,46747,3534428,46865,26,
46945,40,46847,1586000,46848,3539876,46967,30,
47045,39,46948,1586000,46949,3533864,47066,29,
47147,44,47046,1586000,47047,3535564,47174,33,
47248,46,47148,1586000,47150,3539628,47278,31,
47348,43,47249,1586000,47252,3538548,47359,32,
47449,39,47349,1586000,47349,3540036,47465,27,
47548,10,47450,1586000,47451,3543472,47577,7,
47649,33,47549,1586000,47550,3543968,47670,24,
47749,31,47650,1586000,47651,3546944,47770,22,
47850,29,47750,1586000,47751,3546476,47871,22,
47950,36,47851,1586000,47853,3545984,47989,29,
48051,58,47960,1586000,47964,3546480,48062,39,
48151,36,48051,1586000,48052,3540336,48176,26,
48251,35,48152,1586000,48153,3536864,48271,22,
48352,21,48252,1586000,48254,3539468,48373,15,
48452,29,48352,1586000,48355,3542196,48473,24,
48553,30,48454,1586000,48455,3542644,48574,21,
48653,27,48553,1586000,48556,3542128,48687,21,
48753,50,48654,1586000,48662,3544940,48788,37,
