App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
50271,32,50272,1482000,50273,3503596,50288,22,
50371,63,50371,1586000,50373,3510280,50390,38,
50472,62,50472,1586000,50474,3510752,50489,35,
50572,62,50573,1586000,50574,3510592,50589,38,
50673,45,50673,1586000,50675,3512336,50695,27,
50773,55,50773,1586000,50775,3509920,50789,34,
50873,71,50874,1586000,50875,3510416,50889,43,
50974,57,50975,1274000,50976,3509620,50995,30,
51075,68,51076,1482000,51077,3511108,51092,36,
51175,38,51175,1482000,51176,3511852,51191,22,
51276,62,51277,1586000,51278,3509188,51298,35,
51376,67,51376,1586000,51378,3509636,51392,41,
51476,74,51477,1586000,51479,3511324,51493,44,
51577,56,51577,1586000,51579,3511636,51594,33,
51677,31,51679,1586000,51680,3512132,51695,22,
51778,70,51778,1586000,51779,3502816,51810,43,
51878,60,51879,1586000,51881,3507064,51895,32,
51979,54,51979,1482000,51980,3508356,51997,30,
52080,61,52081,1586000,52082,3510340,52097,36,
52182,40,52183,442000,52186,3512820,52211,22,
52280,69,52281,1274000,52282,3518720,52302,33,
52380,71,52381,1586000,52382,3517440,52398,40,
52481,57,52482,1482000,52483,3517176,52503,34,
52582,70,52582,1586000,52583,3517728,52599,42,
52682,31,52682,1586000,52684,3518720,52699,22,
52783,68,52785,1586000,52786,3508084,52817,41,
52883,65,52883,1586000,52884,3510348,52900,38,
52983,55,52984,1586000,52985,3509120,53000,29,
53083,58,53084,1586000,53085,3510164,53101,33,
53185,46,53186,1482000,53187,3515124,53207,28,
53285,75,53287,1586000,53289,3510924,53308,61,
53386,53,53386,1586000,53387,3509520,53402,38,
53485,87,53486,1586000,53487,3510520,53503,27,
53586,0,53587,1586000,53588,3517264,53605,35,
