App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
144217,59,144218,1586000,144219,3524440,144441,39,
144318,38,144319,1586000,144320,3524936,144537,38,
144419,61,144419,1586000,144420,3515700,144638,26,
144519,71,144520,1586000,144521,3517916,144744,31,
144619,49,144620,1586000,144621,3517504,144840,24,
144721,57,144721,1274000,144724,3517508,144953,32,
144821,42,144821,1586000,144822,3518996,145048,46,
144921,54,144922,1274000,144927,3512484,145147,45,
145021,87,145022,1586000,145023,3514652,145256,50,
145121,0,145121,1586000,145122,3515524,145345,35,
145226,76,145227,1586000,145237,3518016,145478,46,
145325,57,145325,1586000,145326,3519008,145556,51,
145426,68,145426,1586000,145429,3527180,145652,48,
145534,77,145535,1586000,145537,3525080,145750,39,
145626,87,145626,1586000,145627,3526576,145852,72,
145728,0,145729,1586000,145731,3517768,145951,56,
145828,87,145829,1586000,145830,3509864,146049,28,
145929,60,145930,1586000,145931,3509628,146157,52,
146029,0,146029,1586000,146030,3505944,146247,35,
146129,87,146130,1586000,146131,3510416,146349,33,
146229,0,146231,1586000,146232,3497980,146448,31,
146330,87,146331,1586000,146332,3501660,146578,68,
146430,0,146431,1586000,146432,3509108,146658,63,
146532,87,146532,1586000,146536,3510504,146758,35,
146631,69,146632,1586000,146633,3506888,146872,47,
146732,0,146734,1586000,146735,3506920,146942,48,
146843,87,146845,1586000,146848,3509068,147051,38,
146932,79,146933,1586000,146933,3508540,147178,45,
147033,0,147034,1586000,147035,3511576,147258,35,
147139,62,147140,1586000,147143,3510952,147369,60,
147234,87,147235,1586000,147237,3507324,147441,42,
147334,80,147335,1586000,147336,3509032,147562,31,
147435,0,147436,1586000,147436,3509092,147667,43,
147539,49,147539,1482000,147542,3510196,147772,32,
147638,87,147639,1586000,147640,3509980,147868,31,
147737,68,147737,754000,147738,3508832,147969,33,
147839,0,147839,1586000,147841,3507384,148072,38,
147941,45,147945,1586000,147947,3508128,148146,37,
148042,87,148044,1586000,148050,3509120,148266,39,
148140,0,148140,1586000,148141,3507988,148361,33,
148241,65,148242,1586000,148243,3509408,148464,48,
148341,52,148341,1586000,148343,3509408,148563,39,
148441,81,148442,1586000,148443,3506968,148674,54,
148542,60,148542,1586000,148544,3506568,148770,39,
148643,87,148644,1586000,148645,3508200,148863,44,
148743,0,148744,1586000,148752,3508872,148949,36,
148844,87,148844,1586000,148845,3509740,149079,45,
148943,0,148943,1586000,148944,3509564,149156,31,
149046,73,149051,1586000,149052,3500764,149274,24,
149145,50,149145,1586000,149146,3503244,149370,40,
149246,49,149246,1586000,149248,3503740,149471,33,
149345,69,149346,1586000,149347,3503948,149576,36,
149446,58,149447,1586000,149448,3503288,149666,27,
149546,63,149547,1586000,149548,3503956,149778,32,
