App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
155259,37,155160,1170000,155161,3530436,155185,11,
155360,26,155260,1170000,155261,3530044,155278,23,
155461,21,155361,1170000,155362,3529256,155382,14,
155561,28,155461,1274000,155462,3529704,155478,12,
155662,36,155562,1274000,155563,3525956,155580,15,
155762,32,155663,1586000,155664,3525148,155679,23,
155864,15,155763,1586000,155764,3525884,155779,23,
155964,26,155864,1170000,155867,3526380,155886,10,
156064,18,155964,1378000,155965,3529604,155982,16,
156164,29,156065,1170000,156066,3529604,156091,11,
156265,33,156165,1586000,156166,3531836,156187,21,
156367,25,156266,1378000,156267,3531396,156282,24,
156467,33,156369,1170000,156370,3531892,156388,16,
156567,35,156468,1170000,156469,3531416,156490,17,
156667,33,156568,1378000,156569,3523820,156585,20,
156768,28,156668,1586000,156669,3524148,156683,24,
156868,18,156769,1586000,156770,3526504,156786,23,
156969,21,156869,1378000,156871,3527000,156884,11,
157070,25,156970,1170000,156972,3529480,156988,13,
157170,23,157070,1378000,157072,3529976,157089,15,
157271,26,157171,1274000,157172,3525712,157192,15,
157371,32,157272,1170000,157273,3526064,157289,13,
157472,37,157372,1170000,157373,3527724,157391,16,
157573,30,157473,1378000,157474,3528488,157492,22,
157673,11,157573,1378000,157574,3529232,157591,18,
157774,27,157674,1586000,157675,3529852,157694,8,
157874,31,157774,1586000,157775,3533324,157794,19,
157975,40,157875,1378000,157876,3532340,157898,19,
158075,27,157976,1586000,157977,3535068,157992,27,
158176,18,158076,1482000,158077,3532012,158092,19,
158277,32,158177,1170000,158178,3532260,158198,13,
158377,33,158278,1170000,158279,3525536,158295,18,
158477,43,158377,1586000,158378,3526528,158403,22,
158578,29,158478,1586000,158479,3516168,158492,32,
158679,34,158579,1378000,158580,3519580,158597,18,
158780,28,158680,1586000,158681,3519976,158695,25,
158880,30,158781,1586000,158782,3522660,158799,22,
158981,37,158881,1586000,158882,3519028,158898,21,
159082,29,158982,1274000,158983,3519252,159006,20,
159182,31,159083,1378000,159084,3516540,159101,17,
159283,39,159183,1274000,159184,3516788,159202,19,
159384,30,159283,1482000,159284,3510180,159298,22,
159486,27,159385,1170000,159391,3513652,159408,19,
159587,15,159486,1170000,159488,3514812,159503,14,
159689,39,159594,1170000,159597,3514812,159623,10,
159786,20,159689,1378000,159691,3516948,159705,24,
159887,12,159786,1170000,159788,3508400,159807,12,
159987,33,159888,1170000,159889,3509392,159911,8,
160088,28,159988,1170000,159989,3512120,160010,19,
160188,32,160088,1378000,160090,3513608,160110,17,
160289,22,160189,1586000,160190,3512724,160203,24,
160390,14,160290,1586000,160292,3516444,160306,18,
160491,25,160390,1170000,160392,3516444,160409,7,
160541,40,160492,1170000,160493,3519420,160509,15,
160641,27,160542,1378000,160543,3519916,160557,17,
160742,24,160642,1482000,160642,3511872,160661,17,
160842,34,160743,1170000,160744,3511004,160759,13,
160943,38,160843,1170000,160844,3511108,160861,18,
161043,40,160944,1274000,160946,3511852,160962,21,
161145,29,161044,1586000,161045,3512616,161058,23,
161245,25,161146,1170000,161147,3516336,161164,17,
161347,17,161245,1586000,161246,3515648,161261,15,
161448,27,161348,1170000,161351,3518072,161369,13,
161550,26,161448,1378000,161449,3511364,161466,15,
161651,12,161550,1170000,161551,3511124,161569,16,
161752,32,161652,1170000,161653,3511632,161673,10,
161851,38,161753,1170000,161754,3513264,161783,16,
161952,28,161852,1482000,161853,3512772,161869,24,
162052,20,161952,1586000,161953,3513020,161968,19,
162153,8,162053,1586000,162054,3516316,162068,15,
162254,36,162154,1170000,162155,3516664,162171,6,
162354,39,162254,1274000,162256,3518996,162275,20,
162455,26,162355,1586000,162356,3517228,162372,28,
162556,34,162456,1170000,162457,3517228,162473,14,
162656,37,162556,1170000,162558,3517228,162573,18,
162757,33,162657,1378000,162658,3517700,162675,21,
162857,25,162758,1378000,162759,3517676,162774,18,
162958,22,162858,1378000,162859,3517432,162877,18,
163059,18,162958,1170000,162959,3513316,162975,11,
163159,32,163060,1170000,163062,3516244,163082,12,
163260,30,163159,1378000,163161,3517880,163178,19,
163360,22,163261,1274000,163263,3516996,163279,18,
163461,25,163360,1482000,163362,3516556,163381,12,
163563,31,163461,1170000,163463,3516292,163483,14,
163662,34,163563,1378000,163565,3516788,163580,17,
163762,16,163662,1274000,163663,3517328,163679,20,
163863,30,163763,1170000,163764,3517700,163782,9,
163963,21,163863,1586000,163864,3514016,163884,20,
164064,42,163964,1170000,163965,3512684,163980,11,
164165,36,164064,1586000,164065,3516836,164081,27,
164265,23,164165,1170000,164166,3515704,164182,19,
164366,29,164266,1170000,164267,3516564,164283,13,
164466,35,164366,1170000,164367,3516616,164385,17,
164567,32,164467,1586000,164468,3517308,164488,21,
164667,25,164567,1586000,164568,3516096,164581,23,
164767,16,164667,1586000,164669,3517092,164684,19,
164869,16,164768,1586000,164769,3517280,164782,11,
164969,25,164869,1170000,164871,3517776,164888,13,
165070,31,164970,1170000,164971,3517876,164988,15,
165170,23,165070,1378000,165072,3511556,165088,16,
165271,34,165171,1170000,165172,3512300,165190,14,
165371,25,165271,1274000,165272,3514680,165291,20,
165471,22,165371,1586000,165374,3515176,165388,18,
165573,33,165472,1586000,165473,3515176,165489,14,
165673,23,165574,1586000,165575,3518644,165595,24,
165774,38,165674,1170000,165675,3517828,165691,15,
165874,26,165774,1586000,165776,3517676,165790,25,
165976,18,165875,1586000,165875,3513460,165889,20,
166076,32,165976,1170000,165977,3513708,165993,12,
166177,40,166076,1170000,166077,3514696,166096,18,
166276,33,166178,1378000,166179,3514704,166195,21,
166378,26,166277,1482000,166278,3514952,166293,21,
166478,23,166378,1378000,166380,3518176,166397,18,
166578,18,166478,1378000,166480,3518824,166494,15,
166681,31,166579,1482000,166580,3519320,166595,12,
166780,28,166681,1586000,166683,3520056,166702,21,
