Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
38099,310000,53207,26,53208,97,53209,1349144,123512.989247312,53224,97
38199,310000,53307,26,53308,97,53309,1347444,121812.989247312,53318,95
38300,310000,53408,26,53409,76,53409,1354664,129032.989247312,53414,78
38400,310000,53508,26,53510,72,53512,1355664,130032.989247312,53530,73
38452,310000,53560,26,53562,72,53567,1359532,133900.989247312,53576,78
38553,310000,53660,30,53663,71,53665,1361516,135884.989247312,53690,71
38655,310000,53763,30,53764,97,53765,1360000,134368.989247312,53771,97
38760,200000,53868,30,53869,100,53870,1360520,134888.989247312,53880,100
38861,200000,53968,30,53969,100,53970,1361712,136080.989247312,53991,100
38961,310000,54069,30,54069,100,54070,1362640,137008.989247312,54074,100
39061,310000,54169,0,54170,100,54170,1362704,137072.989247312,54191,100
39168,310000,54275,0,54276,100,54277,1361192,135560.989247312,54281,100
39268,310000,54376,0,54377,100,54377,1361316,135684.989247312,54381,100
39368,310000,54476,0,54477,97,54478,1362412,136780.989247312,54485,97
39470,310000,54577,0,54578,97,54579,1362956,137324.989247312,54584,97
39570,310000,54678,0,54679,100,54680,1363624,137992.989247312,54702,100
39670,310000,54778,0,54779,100,54780,1362020,136388.989247312,54785,100
