Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
23933,310000,32993,57,32995,57,32996,1222452,10604.4576271186,33017,61
24033,310000,33093,57,33095,66,33096,1260748,48900.4576271186,33105,62
24135,310000,33195,57,33197,50,33200,1316420,104572.457627119,33216,51
24235,310000,33296,57,33299,58,33302,1358456,146608.457627119,33321,50
24336,310000,33396,57,33398,69,33400,1386484,174636.457627119,33414,69
24436,310000,33496,57,33497,56,33498,1389588,177740.457627119,33504,59
24537,310000,33596,39,33598,48,33599,1283480,71632.4576271186,33608,47
24637,310000,33697,39,33698,28,33699,1283960,72112.4576271186,33704,24
24738,310000,33797,0,33803,45,33807,1312568,100720.457627119,33835,49
24838,310000,33898,0,33899,73,33900,1315608,103760.457627119,33910,69
24939,310000,33998,0,33999,45,34000,1322876,111028.457627119,34008,45
25039,310000,34099,0,34100,31,34101,1324644,112796.457627119,34107,32
25139,310000,34199,0,34200,31,34201,1324940,113092.457627119,34205,32
25240,310000,34299,0,34300,28,34301,1323772,111924.457627119,34306,28
25341,310000,34401,0,34402,51,34403,1329944,118096.457627119,34411,51
25444,310000,34504,0,34506,75,34508,1335256,123408.457627119,34513,77
25550,310000,34612,0,34615,95,34616,1349888,138040.457627119,34634,95
25685,310000,34746,0,34750,98,34837,1353420,141572.457627119,34844,98
25808,310000,34872,0,34874,100,34877,1355540,143692.457627119,34884,100
25887,310000,34948,36,34981,91,34983,1355272,143424.457627119,35003,93
25987,310000,35047,36,35049,100,35050,1356056,144208.457627119,35086,100
26097,200000,35174,36,35178,97,35179,1353564,141716.457627119,35203,98
26193,200000,35254,36,35256,100,35261,1353120,141272.457627119,35278,100
26244,200000,35304,36,35305,82,35306,1352768,140920.457627119,35311,79
26345,200000,35405,36,35406,84,35407,1362784,150936.457627119,35444,86
26457,200000,35517,36,35519,93,35521,1361296,149448.457627119,35594,92
26559,200000,35618,36,35620,100,35621,1357712,145864.457627119,35630,100
26669,200000,35730,36,35732,93,35734,1356700,144852.457627119,35745,93
26775,200000,35835,36,35836,94,35838,1356484,144636.457627119,35844,95
26884,200000,35944,38,35946,97,35948,1356072,144224.457627119,35976,97
26978,200000,36038,38,36040,92,36041,1353468,141620.457627119,36047,91
27083,200000,36142,38,36144,78,36180,1359552,147704.457627119,36210,84
27183,200000,36243,38,36245,100,36248,1355716,143868.457627119,36354,100
27295,200000,36355,38,36356,100,36357,1364484,152636.457627119,36389,100
27386,200000,36446,38,36452,95,36461,1357556,145708.457627119,36515,93
27487,200000,36546,38,36548,100,36549,1354584,142736.457627119,36590,97
27600,200000,36661,38,36665,91,36669,1355732,143884.457627119,36698,93
27699,200000,36761,38,36762,100,36763,1355000,143152.457627119,36776,100
27804,200000,36864,38,36865,76,36912,1358036,146188.457627119,36937,84
27904,200000,36964,43,37011,97,37013,1360516,148668.457627119,37034,98
28017,310000,37080,43,37089,100,37091,1356892,145044.457627119,37113,100
28110,310000,37170,43,37172,90,37172,1356928,145080.457627119,37198,90
28216,310000,37276,43,37286,97,37288,1358076,146228.457627119,37303,97
28320,310000,37380,43,37382,100,37384,1357840,145992.457627119,37413,100
28420,310000,37480,43,37481,95,37482,1354956,143108.457627119,37489,95
28521,200000,37581,43,37582,69,37583,1356148,144300.457627119,37666,70
28634,200000,37694,43,37695,95,37697,1357788,145940.457627119,37713,96
28734,200000,37794,43,37795,97,37796,1366080,154232.457627119,37818,97
28835,200000,37895,43,37898,97,37899,1360536,148688.457627119,37961,97
28969,200000,38029,36,38030,98,38032,1358312,146464.457627119,38062,98
29032,200000,38091,36,38093,100,38094,1359820,147972.457627119,38124,100
29133,200000,38194,36,38196,100,38197,1356776,144928.457627119,38207,100
29245,200000,38305,36,38330,86,38331,1368296,156448.457627119,38347,88
29294,200000,38354,36,38356,100,38357,1361848,150000.457627119,38378,100
29399,310000,38459,36,38460,100,38461,1364592,152744.457627119,38467,100
29500,310000,38560,36,38562,97,38563,1359832,147984.457627119,38587,97
29603,310000,38663,36,38673,93,38675,1359712,147864.457627119,38706,93
29704,310000,38764,36,38765,100,38766,1362004,150156.457627119,38797,100
29806,310000,38865,36,38867,100,38868,1361500,149652.457627119,38891,100
29905,200000,38965,36,38969,94,38970,1359680,147832.457627119,38976,94
30005,200000,39065,38,39068,93,39069,1356512,144664.457627119,39075,90
30106,200000,39171,38,39172,92,39173,1357012,145164.457627119,39191,95
30219,200000,39279,38,39280,100,39281,1364576,152728.457627119,39308,100
30319,200000,39379,38,39381,89,39382,1357284,145436.457627119,39397,89
30420,200000,39486,38,39487,87,39497,1356008,144160.457627119,39520,90
30528,200000,39589,38,39591,100,39592,1358996,147148.457627119,39618,100
30629,200000,39689,38,39691,100,39697,1357068,145220.457627119,39713,100
30730,310000,39790,38,39791,82,39792,1354764,142916.457627119,39797,80
30831,310000,39891,38,39894,87,39895,1365076,153228.457627119,39919,86
30931,310000,39992,41,39994,97,39997,1361604,149756.457627119,40086,98
31032,310000,40091,41,40093,97,40094,1360240,148392.457627119,40101,91
31136,310000,40196,41,40198,90,40214,1358384,146536.457627119,40234,91
31260,200000,40320,41,40322,100,40323,1359452,147604.457627119,40343,100
31344,310000,40405,41,40406,96,40412,1357984,146136.457627119,40438,97
31445,310000,40504,41,40505,87,40506,1356680,144832.457627119,40512,86
31549,310000,40610,41,40614,86,40619,1361176,149328.457627119,40634,87
31659,310000,40719,41,40727,95,40728,1363204,151356.457627119,40735,95
31768,310000,40828,41,40830,100,40831,1361592,149744.457627119,40898,100
31887,310000,40947,41,40949,97,40950,1360476,148628.457627119,40964,97
31988,310000,41048,41,41049,97,41061,1362532,150684.457627119,41082,97
32091,310000,41151,32,41153,97,41154,1357476,145628.457627119,41166,97
32190,200000,41250,32,41252,71,41253,1357224,145376.457627119,41272,70
32292,200000,41352,32,41354,97,41355,1359908,148060.457627119,41375,93
32396,200000,41456,32,41457,95,41461,1368056,156208.457627119,41505,100
32516,200000,41576,32,41580,100,41581,1362652,150804.457627119,41603,100
32614,200000,41674,32,41676,94,41677,1359544,147696.457627119,41686,95
32713,200000,41773,32,41774,97,41775,1359792,147944.457627119,41800,97
32817,200000,41877,32,41879,100,41881,1358724,146876.457627119,41896,100
32918,200000,41979,32,42007,90,42008,1363820,151972.457627119,42015,92
33020,200000,42080,32,42081,97,42082,1364964,153116.457627119,42174,96
33122,310000,42183,32,42188,100,42189,1363064,151216.457627119,42206,100
33227,310000,42293,42,42297,100,42302,1361120,149272.457627119,42318,100
33339,310000,42399,42,42400,100,42411,1362320,150472.457627119,42472,97
33445,310000,42506,42,42511,97,42512,1361196,149348.457627119,42548,100
33547,200000,42607,42,42609,100,42610,1358880,147032.457627119,42616,100
33665,400000,42726,42,42733,88,42735,1368964,157116.457627119,42760,89
33799,400000,42859,42,42876,100,42893,1369584,157736.457627119,42902,100
33843,310000,42903,42,42904,100,42905,1362908,151060.457627119,42914,100
33961,310000,43021,42,43023,95,43025,1362924,151076.457627119,43049,95
34032,310000,43092,42,43095,100,43152,1362816,150968.457627119,43159,100
34123,310000,43183,42,43184,100,43185,1361156,149308.457627119,43212,100
34225,310000,43285,42,43287,97,43288,1360660,148812.457627119,43297,97
34327,310000,43386,42,43398,80,43399,1367496,155648.457627119,43406,82
