Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
38428,41,38429,1274000,38430,3505280,137111.516908213,38548,44,
38528,73,38529,1586000,38530,3505568,137399.516908213,38657,30,
38628,53,38629,1586000,38630,3504560,136391.516908213,38755,33,
38733,65,38734,1482000,38735,3494228,126059.516908213,38851,34,
38833,66,38834,1378000,38835,3496888,128719.516908213,38955,20,
38933,32,38934,1586000,38935,3499120,130951.516908213,39059,25,
39034,58,39036,1170000,39039,3509536,141367.516908213,39151,35,
39134,69,39135,1586000,39136,3510528,142359.516908213,39256,40,
39235,66,39236,1586000,39237,3515456,147287.516908213,39352,46,
39335,78,39336,1586000,39337,3514832,146663.516908213,39454,34,
39436,48,39436,1586000,39439,3514736,146567.516908213,39562,46,
39536,78,39537,1586000,39538,3514248,146079.516908213,39655,47,
39637,73,39638,1586000,39639,3516076,147907.516908213,39756,39,
39737,64,39738,1586000,39739,3515832,147663.516908213,39855,37,
39838,61,39839,1586000,39841,3514308,146139.516908213,39955,23,
39938,36,39939,1586000,39940,3514408,146239.516908213,40071,54,
40039,87,40040,1586000,40041,3513736,145567.516908213,40143,43,
40139,0,40139,1586000,40139,3506972,138803.516908213,40262,42,
40241,57,40242,1586000,40243,3507740,139571.516908213,40375,72,
40342,87,40342,1586000,40343,3515564,147395.516908213,40468,75,
40444,73,40445,1586000,40446,3514748,146579.516908213,40559,32,
40543,0,40543,1586000,40544,3513864,145695.516908213,40665,66,
40644,87,40644,1586000,40645,3509524,141355.516908213,40764,66,
40744,67,40744,1586000,40745,3509748,141579.516908213,40872,26,
40845,0,40846,1586000,40856,3510104,141935.516908213,40963,50,
40945,87,40945,1586000,40946,3508132,139963.516908213,41062,31,
41045,0,41046,1586000,41047,3507892,139723.516908213,41165,34,
41146,58,41147,1586000,41148,3508188,140019.516908213,41263,25,
41246,40,41247,1586000,41248,3507816,139647.516908213,41365,40,
41347,67,41347,1586000,41348,3510236,142067.516908213,41465,46,
41449,75,41449,1586000,41451,3507500,139331.516908213,41566,38,
41548,61,41548,1586000,41549,3508296,140127.516908213,41667,35,
41648,61,41649,1586000,41650,3508696,140527.516908213,41769,26,
41751,42,41751,1586000,41752,3511424,143255.516908213,41873,40,
41851,65,41852,1586000,41853,3507208,139039.516908213,41976,47,
41951,77,41952,1586000,41953,3510636,142467.516908213,42076,46,
42053,74,42053,1586000,42056,3507236,139067.516908213,42173,43,
42153,73,42153,1586000,42154,3508576,140407.516908213,42273,43,
42253,65,42254,1586000,42256,3515044,146875.516908213,42374,61,
42353,87,42354,1586000,42355,3516312,148143.516908213,42471,42,
42454,0,42455,1586000,42455,3517128,148959.516908213,42574,44,
42555,87,42556,1586000,42557,3516420,148251.516908213,42671,32,
42655,0,42655,1586000,42656,3500424,132255.516908213,42773,31,
42756,87,42757,1586000,42758,3509980,141811.516908213,42876,64,
42856,58,42856,1586000,42857,3510624,142455.516908213,42974,31,
42956,0,42957,1378000,42958,3518092,149923.516908213,43095,35,
43056,87,43057,1482000,43058,3518092,149923.516908213,43191,49,
43157,0,43164,1586000,43165,3517268,149099.516908213,43264,44,
43258,74,43258,1586000,43258,3518356,150187.516908213,43364,39,
43358,59,43358,1586000,43359,3519696,151527.516908213,43483,45,
43459,87,43459,1586000,43460,3513388,145219.516908213,43579,58,
43559,62,43560,1586000,43561,3513964,145795.516908213,43677,28,
43659,0,43660,1586000,43661,3512804,144635.516908213,43782,59,
43760,87,43760,1586000,43762,3518760,150591.516908213,43883,80,
43860,74,43861,1586000,43862,3518812,150643.516908213,43984,34,
43961,0,43962,1586000,43964,3519800,151631.516908213,44087,50,
44061,83,44062,1586000,44064,3520332,152163.516908213,44194,42,
44162,69,44163,1586000,44164,3520760,152591.516908213,44287,42,
44262,68,44263,1586000,44264,3504324,136155.516908213,44379,44,
44362,72,44363,1586000,44364,3506784,138615.516908213,44479,25,
44463,40,44463,1586000,44464,3506964,138795.516908213,44581,34,
44563,60,44564,1586000,44565,3517012,148843.516908213,44682,38,
44663,63,44664,1586000,44665,3517012,148843.516908213,44784,32,
44764,57,44765,1482000,44766,3515640,147471.516908213,44884,34,
44865,61,44866,1586000,44867,3516844,148675.516908213,44984,29,
44966,45,44966,1274000,44967,3515772,147603.516908213,45092,27,
45067,56,45068,1170000,45069,3515728,147559.516908213,45186,37,
45167,66,45168,1586000,45169,3516224,148055.516908213,45289,31,
45267,49,45268,1586000,45269,3509156,140987.516908213,45389,51,
45367,87,45368,1586000,45369,3505704,137535.516908213,45496,24,
45467,0,45468,1586000,45469,3506628,138459.516908213,45600,48,
45571,73,45572,1586000,45575,3519556,151387.516908213,45700,47,
45671,70,45672,1586000,45673,3519520,151351.516908213,45795,42,
45771,87,45771,1586000,45772,3522512,154343.516908213,45899,34,
